wm_shipment_sk,calendar_date,calendar_period,calendar_date_sk,posting_period,site_id,site_sk,wm_warehouse_cd,warehouse_sk,asn_type_cd,asn_type_desc,shipment_no,qc_hold_upon_receipt_ind,ship_via_cd,manifest_no,bill_of_lading_no,trailer_no,order_no,received_from_no,received_from_vendor_name,received_from_vendor_addr_1,received_from_vendor_addr_2,received_from_vendor_addr_3,received_from_vendor_city,received_from_vendor_state_cd,received_from_vendor_zip,received_from_vendor_phone_no,representative_name,hdr_shipped_cases_qty,hdr_shipped_bottles_qty,hdr_received_cases_qty,hdr_received_bottles_qty,shipped_dt,scheduled_start_receive_dt,scheduled_start_receive_time,first_receipt_dt,first_receipt_time,last_receipt_dt,last_receipt_time,verified_dt,shipment_priority_ind,hrd_asn_status_cd,hdr_asn_status_desc,seal_no,scac_cd,pickticket_order_type,sap_company_cd,warehouse_no,pickicket_wave_no,vendor_asn_no,po_no,po_line_no,item_no,wm_item_sk,wm_item_hist_sk,shipment_seq_no,inventory_type_cd,product_status_cd,bottles_per_case,dtl_shipped_cases_qty,dtl_shipped_bottles_qty,dtl_received_cases_qty,dtl_received_bottles_qty,verified_cases_qty,verified_bottles_qty,pre_received_qty,bottles_per_pallet,laid_in_price_per_case_amt,process_immediate_needs_ind,item_manufacturing_dt,item_expiration_dt,dtl_asn_status_cd,dtl_asn_status_desc,original_pickticket_line_qty,load_dt,load_id,modified_dt,modified_user,src_desc,source_system,check_sum
46821231,2025-01-02 00:00:00,202501,20250102,,7002,-7002,AGC,-961,3,Inbound ASN,DUK-57227,,OTHR,,DUK-57227,425015,LGN000000E,LGN114,LEGENDS WINE & SPIRITS/PARK ST,2101 91st Street Building 5,,,North Bergen,NJ,07047,,,0,187.,2,186.,20241216,0,0,20241216,160217,20241216,160229,20250102,N,90,,n/a,,,0,99900,,,LGN000000E,2,LGN00006,6490910,10764505,2,F,LGN,6.,0,186.,2,186.,2,186.,186.,0.,0.,Y,0,0,90,,0.,2024-12-17 02:18:35,0,2025-04-22 01:19:23,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,737f1a8157f9247ae1217708386dc196
46797934,2025-01-09 00:00:00,202501,20250109,,7002,-7002,AGC,-961,3,Inbound ASN,84429551,,GSCO,,84429551,TCLU47823631,,100033,PERNOD RICARD USA,100 MANHATTANVILLE ROAD,,,Stockholm,NY,10577,,CARRIER FOR PRE-PAID SUPPLIER,0,14724.,22,14724.,20241007,20241216,0,20241216,141942,20241216,141943,20250109,N,90,,AC096317,,,6200,25500,,,3986129,10,930029,12662425,11924862,7,F,SFS,6.,0,6240.,13,6240.,13,6240.,6240.,0.,0.,Y,0,0,90,,0.,2024-12-17 02:18:35,0,2025-04-22 01:19:23,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,111bc944d552b9b0eb80783c0f2a1519
46865356,2025-02-11 00:00:00,202502,20250211,,7002,-7002,AGC,-961,1,PO ASN,3996421,,,,,,,SGWWESNJ,WESTERN CARRIERS HUB,5601 WESTSIDE AVE,,,NORTH BERGEN,NJ,07047,,,0,22.,1,1.,20241220,20241227,0,20250103,194037,20250103,194037,0,N,40,,,,,50,35100,,,,1,MISCHIC,2402272,13113973,1,F,XDK,1.,0,22.,1,1.,0,0.,22.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,2a6dc453f4b9b3abc69cb3d9790f8105
46594412,2025-01-22 00:00:00,202501,20250122,,7002,-7002,AGC,-961,3,Inbound ASN,84976041,,SNKS,,84976041,202,,700051,AMERICOLD WA,1115 WEST ROSE STREET,,,WALLA WALLA,WA,99362,,,0,44.,21,1476.,20241230,20250102,0,20250102,125708,20250122,153437,0,N,40,,NO,,,9999,99990,,,4081677,1,MISCTXD,2179873,13026456,2,F,XDK,1.,0,22.,11,913.,0,0.,913.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,a0e2d6e2acb614297f47dcbd66426ccd
47034461,2025-02-11 00:00:00,202502,20250211,,7002,-7002,AGC,-961,3,Inbound ASN,84981032,,,,,,,SGWWESNJ,WESTERN CARRIERS HUB,5601 WESTSIDE AVE,,,NORTH BERGEN,NJ,07047,,,0,1100.,46,55.,20241220,20241227,0,20250103,191305,20250205,123642,0,N,40,,,,,9999,99990,,,4066076,1,MISCHIC,2402272,13113973,35,F,XDK,1.,0,22.,0,0.,0,0.,0.,0.,0.,Y,0,0,10,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,c3b6f5e4fce66f05c93f2a2d9fcae943
55509214,2025-02-20 00:00:00,202502,20250220,,7002,-7002,AGC,-961,3,Inbound ASN,86349502,,,,,,,7212-WCD1,SGWS NEVADA - ANKAA CA RDC FAIRFIEL,2130 CORDELIA ROAD,,,FAIRFIELD,CA,94534,,,0,154.,0,0.,20250225,20250225,0,0,0,0,0,0,N,10,,,,,9999,99990,,,4134204,1,MISCNVL,428533,12991968,6,F,XDK,1.,0,22.,0,0.,0,0.,0.,0.,0.,Y,0,0,10,,0.,2025-02-20 02:22:42,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4371204_20250219190044.txt,WMI,c6b77863414e3d64dee717bc986b8543
55364717,2025-03-03 00:00:00,202503,20250303,,7002,-7002,AGC,-961,1,PO ASN,4130399,,,,,,,705986,EDI_113961_WESTERN CA,125 MEZZETTA COURT,,,AMERICAN CANYON,CA,94503,,,0,22.,1,1.,20250227,20250227,0,20250228,111753,20250228,111753,0,N,40,,,,,56,61900,,,,1,MISCTXD,2179873,13026456,1,F,XDK,1.,0,22.,1,1.,0,0.,22.,0.,0.,Y,0,0,40,,0.,2025-02-20 02:22:42,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4371204_20250219190044.txt,WMI,6a94722849f8337375597426376d6eca
55374083,2025-03-03 00:00:00,202503,20250303,,7002,-7002,AGC,-961,1,PO ASN,4130686,,,,,,,705986,EDI_113961_WESTERN CA,125 MEZZETTA COURT,,,AMERICAN CANYON,CA,94503,,,0,22.,1,1.,20250227,20250227,0,20250228,111320,20250228,111320,0,N,40,,,,,56,61900,,,,1,MISCTXD,2179873,13026456,1,F,XDK,1.,0,22.,1,1.,0,0.,22.,0.,0.,Y,0,0,40,,0.,2025-02-20 02:22:42,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4371204_20250219190044.txt,WMI,30d465dd11740abee31fd2278de2f48d
55374548,2025-02-21 00:00:00,202502,20250221,,7002,-7002,AGC,-961,3,Inbound ASN,86348261,,SNKS,,86348261,2301,,6201-STFE,SOUTHERN GLAZER'S OF CA-SOUTH,13500 FOSTER ROAD,,,SANTA FE SPRINGS,CA,90670,,,0,88.,24,959.,20250227,20250228,0,20250228,161800,20250228,161800,0,N,40,,0149252,,,9999,99990,,,4112066,1,MISCBOL,2401952,12888203,1,F,XDK,1.,0,22.,0,0.,0,0.,0.,0.,0.,Y,0,0,10,,0.,2025-02-20 02:22:42,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4371204_20250219190044.txt,WMI,4aa865acc0b2ea0fd9e3022797b84500
34207371,2024-09-24 00:00:00,202409,20240924,,7001,-7001,AGK,-960,3,Inbound ASN,82732190,,OTHR,,84579,1829,,100033,PERNOD RICARD USA,100 MANHATTANVILLE ROAD,,,NORTH BERGEN,NY,10577,,WESTERN CARRIERS INC,0,11751.,20,11751.,20240917,20240919,0,20240919,132905,20240919,132906,20240924,N,90,,405513,,,4500,43500,,,3994611,2,911068,89868,11890916,6,F,NYM,6.,0,1248.,3,1248.,3,1248.,1248.,0.,0.,Y,0,0,90,,0.,2024-09-19 22:19:53,0,2025-04-21 22:33:17,INFAJOB,WMIAHASNF_15_AGK_3906578_20240919160034.txt,WMI,50ba7d84fb135681d1aeecdd414c7d43
46819745,2025-01-09 00:00:00,202501,20250109,,7002,-7002,AGC,-961,3,Inbound ASN,84565973,,SNKS,,84565973,UMXU248139,,101079,BACARDI USA INC,2701 LE JEUNE ROAD,,,JACKSONVILLE,FL,33134,,CARRIER FOR PRE-PAID SUPPLIER,0,12516.,26,11592.,20241204,20241216,0,20241216,164842,20241216,165919,20250109,N,90,,300610,,,6600,39600,,,4054434,15,330138,1280689,11973852,12,F,HIC,6.,0,72.,1,72.,1,72.,72.,0.,0.,Y,0,0,90,,0.,2024-12-17 02:18:35,0,2025-04-22 01:19:23,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,dac43609fb749979364cb08da569f39b
46802364,2025-02-11 00:00:00,202502,20250211,,7002,-7002,AGC,-961,1,PO ASN,4071608,,,,,,,SGWWESNJ,WESTERN CARRIERS HUB,5601 WESTSIDE AVE,,,NORTH BERGEN,NJ,07047,,,0,22.,0,0.,20241220,20241227,0,0,0,0,0,0,N,10,,,,,50,35400,,,,1,MISCHIB,6491230,12907000,1,F,XDK,1.,0,22.,0,0.,0,0.,22.,0.,0.,Y,0,0,10,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,0409c50f1d77146ac8cf479eb5e0c550
46632364,2025-02-11 00:00:00,202502,20250211,,7002,-7002,AGC,-961,1,PO ASN,4050984,,,,,,,SGWWESNJ,WESTERN CARRIERS HUB,5601 WESTSIDE AVE,,,NORTH BERGEN,NJ,07047,,,0,22.,0,0.,20241220,20241227,0,0,0,0,0,0,N,10,,,,,50,35400,,,,1,MISCHIB,6491230,12907000,1,F,XDK,1.,0,22.,0,0.,0,0.,22.,0.,0.,Y,0,0,10,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,117158d0bccb72ff979665dd2869a1da
46687817,2024-12-23 00:00:00,202412,20241223,,7002,-7002,AGC,-961,1,PO ASN,4083016,,,,,,,700051,AMERICOLD WA,1115 WEST ROSE STREET,,,WALLA WALLA,WA,99362,,,0,22.,11,805.,20241220,20241220,0,20241223,121347,20241223,121347,0,N,40,,,,,54,67100,,,,1,MISCOHC,9595229,13006627,1,F,XDK,1.,0,22.,11,805.,0,0.,805.,0.,0.,Y,0,0,40,,0.,2024-12-17 02:18:35,0,2025-04-25 01:21:21,INFAJOB,WMIAHASNF_15_AGC_4184010_20241216190037.txt,WMI,fa6263088169c2d730e2e05341416efc
