wm_item_sk,bottles_per_case,case_weight,case_volume,case_weight_uom,case_volume_uom,case_length,case_width,case_height,case_dimension_uom,site_id,wm_warehouse_cd,item_no,division_cd,division_desc,item_desc,item_size,case_price_amt,bottles_per_pallet,pallet_length,pallet_width,pallet_height,pallet_dimension_uom,max_pallet_stacked_qty,bottles_per_layer,bottle_weight,bottle_volume,pallet_weight,pallet_weight_uom,pallet_volume,pallet_volume_uom,cases_per_layer_qty,layers_per_pallet_qty,item_conveyable_ind,case_putaway_type_cd,bottle_length,bottle_width,bottle_height,bottle_dimension_uom,lpn_label_case_ind,heat_sensitive_ind,force_qualtiy_control_audit_ind,bulk_stack_off_set_cd,wcs_tote_cd,perm_assignment_cd,override_pick_type_cd,scm_item_status_cd,scm_item_status_desc,path_no,corp_suppl_sapvnd_num,vendor_product_no,category_cd,suppl_item_no_xref,scc_barcode,upc_barcode,bupc_barcode,crv_barcode,mon_barcode,ean_barcode,load_dt,load_id,modified_dt,modified_user,src_desc,source_system,check_sum
210785,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,658964,S,,TOPBOX PINOT GRIGIO BIB,3.0L,10.1681,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,,,,Blank As Valid,,100501,33356,W,,20088586010792,088586010798,,,,,2025-07-09 01:18:17,0,2025-07-10 01:18:13,INFA JOB,WMISTSTYL_2_AGC_4772865_20250708190046.txt,WMI,b9cd3dbff8f9f99dc1ed83c6fac30575
108404,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,627713,S,,UNSHACKLED SPARKLING ROSE 18 SS,750ML,10.4,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,,Blank As Valid,2018,100092,33987,W,,10086003255224,086003255227,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,c604fd53f4f7c83dfa5cdcd9bdb3a3a3
113200,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,627820,S,,SALDO RED BLEND 21 SS,750ML,14.96,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,,Blank As Valid,2021,100092,7356,W,,10086003258034,086003258037,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,ee539e67472cb59dc53010e068051cbc
122464,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,527148,S,,BEAU JOIE BRUT ROSE RUSTIQUE SLV,750ML,48.33,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,,100564,20573,W,,08567360025170,856736002517,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,bc672c75f773f62761a26f25ee90406d
118326,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,618758,E,,RUTHERFORD HILL CAB SV AJT COL21SS,750ML,33.08,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,2021,100402,5986,W,,10086891028917,086891028910,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,1911e71bc9d9c8712b93e3a7b54462c2
125980,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,631153,S,,LINGUA FRANCA CHARDONNAY AVNI22 SS,750ML,21.73,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,2022,100092,12705,W,,10852672008702,852672008705,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,18bbc489559953b0300c34404a97d920
133668,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,635963,N,,WATERBROOK SAUV BLANC(SC)23 SS,750ML,6.67,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,10,Sku Active,2023,102754,4998,W,,10719911030897,719911030890,,,,,2024-09-05 20:14:33,0,2025-05-20 01:20:59,INFA JOB,WMISTSTYL_2_AGC_3866466_20240905140032.txt,WMI,8df4dc6a42663983b6ef6baad84964e7
322318,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7002,AGC,677100,S,,BONANZA CHARD LOT 1 CELLAR(SC)SS,750ML,9.58,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,,,,Blank As Valid,,100102,31093,W,,20017224810227,,,,,,2025-07-04 06:17:14,0,2025-07-05 01:15:52,INFA JOB,WMISTSTYL_2_AGC_4757530_20250703190047.txt,WMI,ab20bb1dacde47c2cbf0fac39a191de4
12635542,12,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7001,AGK,591366,A,,RUMOR KOSHER ROSE 22,750ML,0.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,90,Discontinued,2022,114344,69109,W,,,736040007234,,,,,2025-03-21 22:21:55,0,2025-05-30 22:24:49,INFA JOB,WMISTSTYL_2_AGK_4457057_20250321160040.txt,WMI,6bb9cbc692ee5e8271a1c739a1ed9b05
21320016,6,1.,1.,POUNDS,CUBIC INCHES,1.,1.,1.,INCHES,7001,AGK,591045,T,,KOVAL RYE SINGLE BRL(#5608)BIB 100,750ML,0.,1,48.,40.,5.,inches,0,1,1.,1.,1.,pounds,1.,cubic inches,1,1,Y,,1.,1.,1.,inches,,,,,,O,,90,Discontinued,,106062,7167,L,,10850786006843,,,,,,2025-03-21 22:21:55,0,2025-05-30 22:24:49,INFA JOB,WMISTSTYL_2_AGK_4457057_20250321160040.txt,WMI,93c4d02a20682d1cfb9539c0dd291e83
